College Code,College Name,Branch Code,Branch Name,Mock Cutoff,Mock Allotment Category,Round 1 Cutoff,Round 1 Allotment Category,Round 2 Cutoff,Round 2 Allotment Category,Round 3 Cutoff,Round 3 Allotment Category,Best Representative Cutoff,Best Representative Category,Chance Category
E252,"Mysore College Of Engineering and Management,Mysore CHIKAHALLI, VARUNA HOBALI, NEAR BIG BANYAN TREE, TN ROAD,MYSORE",IS,INFORMATION SCIENCE,83382,GMR,83382,GMR,135624,GMR,250839,GM,250839,GM,Safe
E151,"Mangalore Institute of Technology & Engineering, Moodabidri, Mangalore(AUTONOMOUS) BADAGA MIJAR,",MC,MC,120529,3AG,118735,3AG,251068,GM,251068,GM,251068,GM,Safe
E153,"S E A College of Engineering & Technology, Virgonagar, Bangalore EKTA NAGAR, BASAVANAPURA, VIRGO NAGAR POST, BANGALORE - 560 049.",EC,EC,94712,GMR,91386,GMR,197484,GMR,251097,GM,251097,GM,Safe
E180,"Beary's Institute of Technology, Boliar Village,Bantwal Tq, Mangalore LANDS END, INNOLI,BOLIYAR VILLAGE,NEAR MANGALORE UNIVERSITY,MANGALORE-574 153",EC,EC,127069,GMR,132756,GMR,251122,GM,251122,GM,251122,GM,Safe
E216,"Shetty Institute of Technology,Gulbarga 5TH KM RAJAPUR SHAHABAD ROAD GULBARGA",AM,AM,62640,GM,66581,GM,73323,GM,251140,GM,251140,GM,Safe
E221,"Biluru Gurubasava Mahaswamiji Institute of Technology,Mudhol,Bagalkote. MANTUR ROAD, MUDHOL,BAGALKOTE",CS,COMPUTER SCIENCE,92884,GMR,98682,3AG,131632,3AG,251290,GM,251290,GM,Safe
E055,"P A College of Engineering, Kairangal, Bantwala Tq,. Mangalore NADUPADAV, NEAR MANGALORE UNIVERSITY,MONTEPADAV POST, KAIRANGALA VILLAGE,BANTWAL-MANGALORE",CE,COMPUTER ENGINEERING,242672,GMR,161450,GMR,251474,GM,251474,GM,251474,GM,Safe
E239,"East West College Of Engineering, Yelahanka,Bangalore NO.13 SECTOR ""A"", YELAHANKA NEW TOWN,YELAHANKA, BANGALORE-560064",ME,ME,142508,3AR,175422,3AR,251507,GM,-,-,251507,GM,Safe
E086,"Sri Sairam College Of Engineering, Anekal, Bangalore SAI LEO NAGAR",EE,EE,104879,3AR,104879,3AR,226413,3AG,251575,GM,251575,GM,Safe
E303,"GM University KARUR VILLAGE, KASABA HOBLI, DAVANGERE TALUK AND DISTRICT",CBS,CBS,147823,GMR,124217,GMR,251633,GM,251633,GM,251633,GM,Safe
E013,"Ghousia Engineering College, Ramanagara BANGALORE - MYSORE ROAD,RAMANAGARA",CE,COMPUTER ENGINEERING,127741,GMR,120255,GMR,251741,GM,-,-,251741,GM,Safe
E116,"R.L.Jalappa Institute of Technology, Doddaballapura KODIGEHALLI, DODDABALLAPUR-561203, BANGALORE RURAL",CS,COMPUTER SCIENCE,98397,GMR,96673,GMR,141645,3AG,251745,GM,251745,GM,Safe
E060,"Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",CE,COMPUTER ENGINEERING,86822,GMR,90600,GMR,125378,GMR,251794,GM,251794,GM,Safe
E146,"Shreedevi Institute of Technology, Mangalore AIRPORT ROAD, KENJAR VILLAGE,MALAVOOR PANCHAYAT,DAKSHINA KANNADA",CS,COMPUTER SCIENCE,103059,GMR,105700,3AG,251810,GM,251810,GM,251810,GM,Safe
E303,"GM University KARUR VILLAGE, KASABA HOBLI, DAVANGERE TALUK AND DISTRICT",CY,CY,117194,GMR,106456,GMR,257152,GMR,251891,GM,251891,GM,Safe
E146,"Shreedevi Institute of Technology, Mangalore AIRPORT ROAD, KENJAR VILLAGE,MALAVOOR PANCHAYAT,DAKSHINA KANNADA",AM,AM,85497,GMR,92205,GMR,146496,GMR,251933,GM,251933,GM,Safe
E044,"Bheemanna Khandre Institute of Technology, Bhalki BHALKI-HUMNABAD ROAD,BHALKI- 585328,DIST. BIDAR",CY,CY,114217,3AG,120533,3AG,160021,3AG,251957,GM,251957,GM,Safe
E144,"Srinivas Institute of Technology, Mangalore SRINIVAS CAMPUS",IS,INFORMATION SCIENCE,90582,GMR,86057,GMR,251980,GM,251980,GM,251980,GM,Safe
E146,"Shreedevi Institute of Technology, Mangalore AIRPORT ROAD, KENJAR VILLAGE,MALAVOOR PANCHAYAT,DAKSHINA KANNADA",ME,ME,238879,GMR,251980,GMR,-,-,-,-,251980,GMR,Safe
E076,"Proudadevaraya Institute of Technology, Hospet SHAH BHAVARLAL BABULAL NAHAR CAMPUS,T.B.DAM ROAD, BESIDE TSP LIMITED,HOSPET - 583225,BELLARY DISTRICT",ME,ME,239435,GMR,193698,GMR,251985,GM,251985,GM,251985,GM,Safe
E180,"Beary's Institute of Technology, Boliar Village,Bantwal Tq, Mangalore LANDS END, INNOLI,BOLIYAR VILLAGE,NEAR MANGALORE UNIVERSITY,MANGALORE-574 153",AD,AD,106354,3AG,101773,3AG,125779,GMR,252031,GM,252031,GM,Safe
E216,"Shetty Institute of Technology,Gulbarga 5TH KM RAJAPUR SHAHABAD ROAD GULBARGA",EC,EC,128652,GMR,124617,GMR,257383,GM,252044,GM,252044,GM,Safe
E274,"Government Engineering College, Mosale Hosahalli, Hassan MOSALEHOSAHALLI, HASSAN",ME,ME,198456,GMR,188292,GMR,254568,GM,252077,GM,252077,GM,Safe
E011,"M V J College of Engineering, Bangalore(AUTONOMOUS) NEAR ITPB,CHANNASANDRA,KADUGODI POST,BANGALORE",ME,ME,90743,GMR,69795,GMR,111208,GMR,252352,GM,252352,GM,Safe
E301,"KISHKINDA UNIVERSITY BALLARI INSTITUTE OF TECHNOLOGY & MANAGEMENT (BITM) CAMPUS, BALLARI-HOSPET ROAD, NEAR ALLIPUR, BALLARI-583104",CS,COMPUTER SCIENCE,147420,3AR,151123,3AR,213680,3AG,252383,GM,252383,GM,Safe
E075,"Ballari Institute of Technology & Management, Bellary(AUTONOMOUS) ""JNANA GANGOTRI"" CAMPUS, #873/2 OF KOLAGAL VILLAGE,BELLARY-HOSPET ROAD, ALLIPUR",CE,COMPUTER ENGINEERING,151858,GMR,151858,GMR,261185,GM,252388,GM,252388,GM,Safe
E165,"Yenepoya Institute Of Technology, Mangalore VIDYANAGAR N.H 13THODAR MIJAR POST MOODBIDRI MANGALORE TQ",ME,ME,163544,GMR,151928,GMR,252417,GM,252417,GM,252417,GM,Safe
E139,"Impact College of Engineering & Applied Sciences, Bangalore KODIGEHALLI,SAHAKARANAGAR SOUTH BANGALORE",CS,COMPUTER SCIENCE,88328,GMR,82005,GMR,140277,GMR,252699,GM,252699,GM,Safe
E239,"East West College Of Engineering, Yelahanka,Bangalore NO.13 SECTOR ""A"", YELAHANKA NEW TOWN,YELAHANKA, BANGALORE-560064",EC,EC,66298,GMR,65864,GMR,107956,GMR,252703,GM,252703,GM,Safe
E307,SESHADRIPURAM INSTITUTE OF TECHNOLOGY MYSURU MYSURU,ME,ME,169400,GMR,162769,GMR,252730,GM,252730,GM,252730,GM,Safe
E151,"Mangalore Institute of Technology & Engineering, Moodabidri, Mangalore(AUTONOMOUS) BADAGA MIJAR,",ME,ME,145059,GMR,124656,3AG,252755,GM,252755,GM,252755,GM,Safe
E013,"Ghousia Engineering College, Ramanagara BANGALORE - MYSORE ROAD,RAMANAGARA",CS,COMPUTER SCIENCE,67355,GMR,75052,GMR,117179,GMR,252804,GM,252804,GM,Safe
E300,"AKASH INTITUTE OF ENGINEERING AND TECHNOLOGY PRASANNAHALLI MAIN RAOD, AKKUPETE VILLAGE, KASABA HOBLI",CY,CY,116499,3AR,106536,3AR,261789,3AG,252965,GM,252965,GM,Safe
E238,"Mysuru Royal Institute Of Technology,Lakshmipura road,Mysuru LAKSHMIPURA ROAD, OFF MYSURU -BENGALURU HIGHWAY,MANDYA",AM,AM,84653,GMR,84653,GMR,95087,GMR,253068,GM,253068,GM,Safe
E045,"Rao Bahadur Y.Mahabaleswarappa Engineering College, Bellary CONTONMENT, BELLARY-583104",DS,DATA SCIENCES,95216,GM,91993,GM,112756,GM,253111,GM,253111,GM,Safe
E070,"Bahubali College of Engineering, Shravanabelagola, Hassan GOMMATANAGARA,SHRAVANABELAGOLA - 573135 HASSAN",CS,COMPUTER SCIENCE,83149,3AG,84842,3AG,113035,3AG,253195,GM,253195,GM,Safe
E188,"Vijaya Vittala Institute of Technology, Doddagubbi, Hennur Bagalur Road, Bangalore #35/1, DODDA GUBBI POST, HENNUR-BAGALURU ROAD,BANGALORE",CS,COMPUTER SCIENCE,93522,GMR,87509,GMR,151103,GMR,253208,GM,253208,GM,Safe
E213,"Lingarajappa Engineering College, Bidar SURVEY NO. 25/1, GORNALLI ,BIDAR",EE,EE,156282,GMR,148783,GMR,253267,GM,253267,GM,253267,GM,Safe
E127,"M S Engineering College, Bangalore NAVARATHNA AGRAHARA, SADAHALLIPOST, NEAR BIAL, BANGALORE",IS,INFORMATION SCIENCE,97605,GMR,91527,GMR,253269,GMR,253269,GM,253269,GM,Safe
E063,"S J M Institute of Technology, Chitradurga P B NO 73, NH -4 BYE PASS, CHITRADURGA",EE,EE,122614,3AR,158368,3AR,256493,GM,253403,GM,253403,GM,Safe
E119,"K C T Engineering College, Gulbarga KCT CAMPUS",CS,COMPUTER SCIENCE,87363,GMR,99373,3AG,206309,3AG,253417,GM,253417,GM,Safe
E264,"BASAV ENGINEERING SCHOOL OF TECHNOLOGY, VIJAYAPURA",ME,ME,247432,GM,253437,GMR,-,-,-,-,253437,GMR,Safe
E066,"University B.D.T. college of Engineering, (H.GOV),Davangere",EI,EI,174394,3AG,122725,3AG,253458,GM,253458,GM,253458,GM,Safe
E211,"Jain Institute of Technology, Davanagere 323, BADA CROSS NEAR BLIND SCHOOL AVARAGERE DAVANGERE",EE,EE,146773,3AR,146773,3AR,262158,GM,253531,GM,253531,GM,Safe
E274,"Government Engineering College, Mosale Hosahalli, Hassan MOSALEHOSAHALLI, HASSAN",CE,COMPUTER ENGINEERING,201852,3AG,196189,GMR,259525,GM,253543,GM,253543,GM,Safe
E049,"B V V Sangha`s Basaveshwara Engineering College , Bagalkote (AUTONOMOUS) NIJALINGAPPA ROAD,BAGALKOT 587102",BT,BIO-TECHNOLOGY,65179,GMR,67606,GMR,244834,3AG,253581,GM,253581,GM,Safe
E191,"Akshaya Institute of Technology, Lingapura, Tumkur Dist. LINGAPURA",CS,COMPUTER SCIENCE,98733,GMR,100087,3AG,143337,3AG,253585,GM,253585,GM,Safe
E085,"APS College of Engineering, Somanahalli, Bangalore 26 KM KANAKAPURA ROAD BANGALORE 82,BANGALORE URBAN",EC,EC,75959,GMR,74216,GMR,115464,GMR,253610,GM,253610,GM,Safe
E174,"Dr. Sri Sri Sri Shivakumara Mahaswamyji College of Engineering, Byranayakanahalli, Bangalore Rural BYARANAYAKANAHALLI,DODDABALE POST,NELAMANGALA TALUK,BANGALORE RURAL DISTRICT",IS,INFORMATION SCIENCE,118031,GMR,109099,GMR,253669,GM,253669,GM,253669,GM,Safe
E278,"VISVESVARAYA TECHNOLOGICAL UNIVERSITY, BELAGAVI, VIAT, MUDDENAHALLI CAMPUS, CHIKKABALLAPUR Muddenahalli campus,Chickkaballapur",DS,DATA SCIENCES,90455,3AG,88089,3AG,117524,3AG,253671,GM,253671,GM,Safe
E018,"Kalpatharu Institute of Technology, Tiptur B.H.ROAD,HASSAN CIRCLE,TIPTUR-572202",EC,EC,97110,GMR,99831,3AG,171856,GMR,253692,GM,253692,GM,Safe
E303,"GM University KARUR VILLAGE, KASABA HOBLI, DAVANGERE TALUK AND DISTRICT",CE,COMPUTER ENGINEERING,203303,3AR,143353,GMR,252856,GM,253785,GM,253785,GM,Safe
E211,"Jain Institute of Technology, Davanagere 323, BADA CROSS NEAR BLIND SCHOOL AVARAGERE DAVANGERE",CE,COMPUTER ENGINEERING,164425,GMR,207627,3AG,253804,GM,253804,GM,253804,GM,Safe
E176,"Navodaya Institute of Technology, Raichur(AUTONOMOUS) NAVODAYA NAGAR, MANATRALAYAM ROAD, RAICHUR",AM,AM,57647,GM,73777,GM,109204,GM,253827,GM,253827,GM,Safe
E278,"VISVESVARAYA TECHNOLOGICAL UNIVERSITY, BELAGAVI, VIAT, MUDDENAHALLI CAMPUS, CHIKKABALLAPUR Muddenahalli campus,Chickkaballapur",ME,ME,164752,3AG,158649,GMR,253831,GM,253831,GM,253831,GM,Safe
E151,"Mangalore Institute of Technology & Engineering, Moodabidri, Mangalore(AUTONOMOUS) BADAGA MIJAR,",AN,AN,61012,3AG,61012,3AG,107003,3AG,253882,GM,253882,GM,Safe
E116,"R.L.Jalappa Institute of Technology, Doddaballapura KODIGEHALLI, DODDABALLAPUR-561203, BANGALORE RURAL",EC,EC,115535,3AR,107178,3AR,253889,GM,253889,GM,253889,GM,Safe
E042,"Khaja Bandanawaz University KBN University Street, Khaja Colony, Kalaburagi, Karnataka 585104",EC,EC,83385,GM,83632,GM,157377,GM,253957,GM,253957,GM,Safe
E129,"St.Joseph Engineering College, Mangalore(AUTONOMOUS) MANGALORE",ME,ME,125092,3AG,125092,3AG,254031,GM,254031,GM,254031,GM,Safe
E054,"K V G College of Engineering, Sullia KURUNJIBHAG,",CE,COMPUTER ENGINEERING,185443,GMR,185443,GMR,254057,GM,254057,GM,254057,GM,Safe
